94553,"$1,881 ",/ 2br - 803ft
94553,"$1,881 ",/ 2br - 803ft
95050,"$2,352 ",/ 1br - 725ft
95050,"$2,352 ",/ 1br - 725ft
94590,"$1,360 ",/ 3br - 
94590,"$1,360 ",/ 3br - 
94089,"$3,150 ",/ 2br - 
94089,"$3,150 ",/ 2br - 
94109,"$6,250 ",/ 2br - 1675ft
94607,"$3,840 ",/ 2br - 1077ft
94550,"$2,420 ",/ 2br - 896ft
94550,"$2,420 ",/ 2br - 896ft
95014,"$2,742 ",/ 2br - 825ft
95054,"$2,650 ",/ 1br - 796ft
95054,"$2,650 ",/ 1br - 796ft
95008,"$3,175 ",/ 2br - 1141ft
94087,"$2,795 ",/ 2br - 655ft
95129,"$2,198 ",/ 1br - 
95129,"$2,198 ",/ 1br - 
95129,"$2,198 ",/ 1br - 
94608,"$3,645 ",/ 2br - 1290ft
94129,"$6,500 ",/ 4br - 
94901,"$2,076 ", 
94939,"$3,800 ",/ 2br - 1100ft
94939,"$3,800 ",/ 2br - 1100ft
95134,"$2,610 ",/ 1br - 688ft
95050,"$1,874 ",/ 1br - 536ft
94070,"$1,125 ",/ 2br - 1050ft
94070,"$1,125 ",/ 2br - 1050ft
94598,"$2,475 ",/ 1br - 773ft
94583,"$2,751 ",/ 2br - 1175ft
94107,"$4,550 ",/ 2br - 1365ft
94941,"$2,999 ",/ 1br - 1000ft
95407,"$2,090 ",/ 2br - 850ft
94602,"$1,500 ",/ 470ft
94925,"$2,258 ",/ 1br - 
94572,"$1,500 ",/ 2br - 
94536,"$1,945 ",/ 1br - 
94588,"$2,608 ",/ 2br - 933ft
94104,"$1,700 ", 
94104,"$1,700 ", 
94105,"$2,750 ",/ 437ft
94105,"$3,900 ",/ 1br - 1053ft
94103,"$3,795 ",/ 1br - 
94103,"$3,795 ",/ 1br - 
94304,"$3,695 ",/ 2br - 
95134,"$2,505 ",/ 1br - 759ft
94954,"$1,931 ",/ 2br - 794ft
95128,"$3,390 ",/ 3br - 1566ft
94546,"$2,260 ",/ 3br - 1430ft
94954,"$2,600 ",/ 4br - 1505ft
94954,"$2,600 ",/ 4br - 1505ft
94954,"$2,600 ",/ 4br - 1505ft
94901,"$2,895 ",/ 3br - 1400ft
94901,"$2,895 ",/ 3br - 1400ft
94127,"$1,950 ",/ 1br - 500ft
94127,"$1,950 ",/ 1br - 500ft
94122,"$3,845 ",/ 1br - 854ft
94086,"$1,050 ",/ 2br - 930ft
94595,"$3,000 ",/ 2br - 1300ft
94086,"$4,190 ",/ 2br - 1240ft
94596,"$2,595 ",/ 2br - 970ft
94103,"$4,800 ",/ 2br - 
94103,"$4,800 ",/ 2br - 
94103,"$4,800 ",/ 2br - 
94610,"$2,885 ",/ 4br - 2000ft
94109,"$2,400 ",/ 1br - 
94105,"$3,395 ", 
94122,"$3,675 ",/ 1br - 840ft
94086,"$2,305 ",/ 1br - 715ft
94403,"$4,980 ",/ 4br - 2020ft
95050,"$2,708 ",/ 2br - 925ft
95050,"$2,708 ",/ 2br - 925ft
95409,"$2,633 ",/ 2br - 1042ft
95050,"$2,689 ",/ 2br - 925ft
94087,"$2,704 ",/ 1br - 790ft
94087,"$2,744 ",/ 1br - 790ft
94087,"$2,744 ",/ 1br - 790ft
95453,"$1,500 ",/ 3br - 1400ft
94542,"$2,224 ",/ 2br - 976ft
95014,"$4,226 ",/ 3br - 1508ft
95003,"$3,600 ",/ 3br - 1500ft
94596,"$1,737 ",/ 505ft
95148,"$2,998 ",/ 3br - 1232ft
94044,"$2,274 ",/ 1br - 
94044,"$2,274 ",/ 1br - 
94596,"$1,844 ",/ 505ft
94544,"$2,235 ",/ 1br - 985ft
94550,"$2,770 ",/ 3br - 996ft
94580,"$1,895 ",/ 1br - 950ft
94022,"$6,900 ",/ 3br - 2277ft
94022,"$6,900 ",/ 3br - 2277ft
94105,"$4,000 ",/ 550ft
94534,"$1,504 ",/ 1br - 
94534,"$1,504 ",/ 1br - 
95403,"$2,079 ",/ 2br - 921ft
94538,"$3,499 ",/ 3br - 1935ft
95131,"$2,973 ",/ 2br - 1137ft
94040,"$2,346 ",/ 612ft
95051,"$3,018 ",/ 2br - 1020ft
94536,"$2,450 ",/ 2br - 850ft
95037,"$3,800 ",/ 5br - 2785ft
94608,"$3,586 ",/ 3br - 1204ft
94109,"$5,000 ",/ 2br - 
94086,"$2,795 ",/ 1br - 702ft
94551,"$2,000 ",/ 2br - 829ft
94122,"$4,150 ",/ 2br - 882ft
94102,"$2,100 ", 
95687,"$1,325 ",/ 1br - 642ft
95014,"$2,595 ",/ 1br - 770ft
95409,"$2,037 ",/ 1br - 630ft
94901,"$2,076 ", 
94404,"$3,318 ",/ 2br - 963ft
94109,"$4,394 ",/ 1br - 
94109,"$4,394 ",/ 1br - 
94598,"$3,350 ",/ 3br - 1508ft
94607,"$1,595 ",/ 1br - 
94065,"$3,279 ",/ 2br - 1000ft
94041,"$2,531 ",/ 1br - 670ft
94122,"$5,000 ",/ 2br - 1050ft
94587,"$2,598 ", 
95060,"$2,250 ",/ 2br - 
95060,"$2,250 ",/ 2br - 
94041,"$2,909 ",/ 2br - 935ft
94041,"$2,909 ",/ 2br - 935ft
95118,"$2,525 ",/ 3br - 1121ft
94041,"$2,984 ",/ 2br - 935ft
94086,"$4,265 ",/ 2br - 1004ft
94109,"$2,657 ",/ 408ft
94565,"$1,720 ",/ 2br - 881ft
94306,"$7,500 ",/ 4br - 2020ft
94306,"$7,500 ",/ 4br - 2020ft
94103,"$3,125 ",/ 1br - 600ft
94103,"$3,125 ",/ 1br - 600ft
94588,"$2,275 ",/ 1br - 731ft
94607,"$3,116 ",/ 1br - 714ft
94588,"$2,568 ",/ 1br - 731ft
94530,"$3,000 ",/ 2br - 1200ft
94086,"$2,255 ",/ 1br - 717ft
95054,"$3,690 ",/ 2br - 1195ft
94306,"$6,765 ",/ 2br - 1292ft
94306,"$6,765 ",/ 2br - 1292ft
95054,"$3,691 ",/ 2br - 1216ft
95014,"$3,905 ",/ 3br - 1387ft
94104,"$3,052 ",/ 475ft
94104,"$3,052 ",/ 475ft
94109,"$4,395 ",/ 2br - 1000ft
94103,"$4,745 ",/ 1br - 800ft
94587,"$2,248 ",/ 1br - 603ft
95006,"$1,750 ",/ 1br - 
95006,"$1,750 ",/ 1br - 
95120,"$3,800 ",/ 4br - 2100ft
95062,"$2,850 ",/ 3br - 1250ft
95062,"$1,050 ", 
94563,"$5,700 ",/ 3br - 2200ft
94563,"$5,700 ",/ 3br - 2200ft
95407,"$1,705 ",/ 1br - 559ft
95687,"$1,543 ",/ 2br - 986ft
94565,"$1,461 ",/ 2br - 986ft
94086,"$2,850 ",/ 2br - 920ft
94086,"$2,850 ",/ 2br - 920ft
94107,"$2,480 ",/ 233ft
95134,"$2,186 ",/ 565ft
94538,"$2,284 ",/ 1br - 829ft
95126,"$2,588 ",/ 1br - 861ft
95126,"$2,588 ",/ 1br - 861ft
95014,"$3,607 ",/ 2br - 1112ft
94134,"$2,095 ",/ 1br - 
92115,"$1,425 ",/ 2br - 960ft
94596,"$2,565 ",/ 1br - 766ft
94596,"$2,565 ",/ 1br - 766ft
94109,"$3,300 ", 
94109,"$3,300 ", 
94104,"$2,948 ",/ 475ft
94104,"$2,948 ",/ 475ft
94124,"$3,150 ",/ 2br - 1017ft
94587,"$1,814 ",/ 510ft
94025,"$3,895 ",/ 2br - 1128ft
94928,"$2,790 ",/ 3br - 1454ft
94608,"$2,089 ",/ 486ft
94104,"$4,285 ",/ 2br - 
94014,"$1,500 ", 
94014,"$1,500 ", 
94965,"$2,879 ",/ 2br - 773ft
94965,"$2,879 ",/ 2br - 773ft
94590,"$1,550 ",/ 2br - 1100ft
94550,"$1,713 ",/ 1br - 
94080,$600 ,/ 1br - 720ft
94536,"$1,899 ",/ 2br - 900ft
94070,"$2,100 ",/ 1br - 650ft
94070,"$2,100 ",/ 1br - 650ft
95687,"$1,900 ",/ 3br - 1500ft
94598,"$2,000 ", 
94598,"$2,000 ", 
95006,"$2,500 ",/ 3br - 1400ft
95006,"$2,500 ",/ 3br - 1400ft
95035,"$2,630 ",/ 1br - 711ft
95126,"$2,570 ",/ 1br - 920ft
94105,"$11,500 ",/ 6br - 2000ft
94582,"$2,062 ",/ 1br - 775ft
94803,"$1,950 ",/ 2br - 
94577,"$2,500 ",/ 3br - 1100ft
94112,$800 ,/ 1br - 
95377,"$2,350 ",/ 4br - 2050ft
